videoid,sid,last_modify,showid,episode
XMTUzOTM5MjAxNg==,960173870,1470306166,300647,1
XMTUzOTQwMzMyMA==,960126611,1470308694,300647,2
XMTU0MDU2NTMwMA==,960186144,1470307832,300647,3
XMTU0MDU3NzgxMg==,960147269,1470308441,300647,4
XMTU0MTg3MzIxNg==,960127893,1470308368,300647,5
XMTU0MTg3NDE4NA==,960115306,1470308542,300647,6
XMTU0MzE5NTQ3Ng==,960051076,1470309891,300647,7
XMTU0MzE4NzYxMg==,960170936,1470308203,300647,8
XMTU0NDIxNjA0OA==,960173044,1470309969,300647,9
XMTU0NDIxNTE0MA==,959946157,1470309303,300647,10
XMTU0NTMyNzA5Ng==,960206233,1470309494,300647,11
XMTU0NjYyOTQ5Mg==,960177114,1470308936,300647,12
XMTU0NjYzMDE2OA==,959830325,1470307792,300647,13
XMTU0Nzc1MDA5Mg==,960120100,1470312055,300647,14
XMTU0Nzc1MTAzNg==,960207875,1470312095,300647,15
XMTU0ODkzMTU4MA==,960148188,1470308396,300647,16
XMTU0ODkyODIyMA==,960202979,1470309057,300647,17
XMTU1MDAwMDE2NA==,960120323,1470305890,300647,18
XMTU0OTk4ODI2NA==,960181645,1470311864,300647,19
XMTU1MTIwOTExNg==,960208506,1470313724,300647,20
XMTU1MTIxMjA4MA==,960148477,1470311349,300647,21
XMTU1MjIxOTA5Mg==,960067211,1470308653,300647,22
XMTU1MjIxOTk2MA==,960184641,1470310929,300647,23
XMTU1MzUwNjcxNg==,960127318,1470313877,300647,24
XMTU1NDUxMjcwMA==,960048508,1470313852,300647,25
XMTU1NDUwMjY5Ng==,960123979,1470313086,300647,26
XMTU1NTU4Njk4NA==,960227279,1470314983,300647,27
XMTU1NTU4Nzc4OA==,960226557,1470312933,300647,28
XMTU1NjgxMDcxMg==,959924821,1470312880,300647,29
XMTU1NjgxMTc4MA==,960237015,1470315239,300647,30
XMTU1ODAzNjYxMg==,959463195,1470315463,300647,31
XMTU1ODAzMzI2MA==,959956669,1470314418,300647,32
XMTU1OTI3NzUxNg==,960184600,1470315527,300647,33
XMTU1OTI4Mjk4OA==,959886443,1470313772,300647,34
XMTU2MDU2MzUxMg==,960190125,1470315465,300647,35
XMTU2MDQ5MTQ5Mg==,960219541,1470314387,300647,36
XMTU2MTYyNTM4NA==,960183107,1470314583,300647,37
XMTU2Mjc4MTAzMg==,960014316,1470316951,300647,38
XMTU2Mjc4MTc4NA==,960254385,1470317045,300647,39
XMTU2NDE1NTkwNA==,960118892,1470315386,300647,40
XMTU2NDE2OTEwOA==,960250732,1470317409,300647,41
XMTU2NTA3MDAxMg==,960253813,1470317490,300647,42
